
ReadDoctor,2024-05-29 18:24:01
CreateClient,2024-05-29 18:24:48
CreateInsurance,2024-05-29 18:24:48
ReadClient,2024-05-29 18:25:03
ReadInsurance,2024-05-29 18:25:03
ReadClient,2025-02-28 19:53:59
ReadDoctor,2025-02-28 19:54:12
ReadAppointment,2025-02-28 19:54:36
ReadAppointment,2025-02-28 19:55:10
ReadClient,2025-02-28 20:02:32
CreateClient,2025-02-28 20:03:21
CreateInsurance,2025-02-28 20:03:21
ReadClient,2025-02-28 20:03:34
DeleteClient,2025-02-28 20:03:59
DeleteInsurance,2025-02-28 20:03:59
ReadClient,2025-02-28 21:05:28
ReadClient,2025-03-01 17:30:17
ReadClient,2025-03-01 17:31:21
CreateClient,2025-03-01 17:31:42
ReadClient,2025-03-01 17:32:45
ReadClient,2025-03-01 18:59:41
CreateInsurance,2025-03-01 18:59:55
ReadClient,2025-03-01 19:00:00
ReadClient,2025-03-01 19:01:27
ReadClient,2025-03-01 19:03:51
DeleteAppointment,2025-03-01 19:04:02
DeleteClient,2025-03-01 19:04:02
DeleteInsurance,2025-03-01 19:04:02
ReadClient,2025-03-01 19:04:43
ReadInsurance,2025-03-01 19:04:43
DeleteClient,2025-03-01 19:04:52
DeleteInsurance,2025-03-01 19:04:52
ReadClient,2025-03-01 19:06:17
ReadClient,2025-03-01 19:06:45
ReadInsurance,2025-03-01 19:06:45
DeleteClient,2025-03-01 19:06:53
DeleteInsurance,2025-03-01 19:06:53
ReadClient,2025-03-01 19:07:58
DeleteClient,2025-03-01 19:08:04
ReadClient,2025-03-01 19:08:07
ReadDoctor,2025-03-01 19:09:09
ReadDoctor,2025-03-01 19:09:42
UpdateDoctor,2025-03-01 19:10:51
ReadDoctor,2025-03-01 19:10:57
UpdateDoctor,2025-03-01 19:11:15
